7 , [64.31815345810914, 52.65008034508665, 65.28302712819804, 64.81265971093474, 59.7292527471074, 66.73191151267719]
14 , [70.2755519978142, 56.605890260501816, 72.67447426484819, 72.3493119527132, 64.15178976684787, 72.74743369683813]
21 , [70.36656089802443, 55.63978570037098, 73.70509232724278, 71.65210680465849, 65.69063346601497, 80.80372021181377]
28 , [70.39810073847897, 57.269140975647296, 74.51979870696566, 71.22774560939112, 68.28735816562506, 83.94969111843592]
35 , [69.77446762853737, 56.79718756009332, 74.1389078736549, 71.3896366976248, 69.9505868960063, 82.34749390873671]
42 , [67.90909896818643, 57.12623351233674, 74.18292330448145, 69.400269466953, 68.88735617655283, 85.0769227527168]
49 , [68.46886915953013, 57.21444832446998, 75.27215813583878, 69.78338614037463, 70.32869041616654, 85.26861585683066]
56 , [70.05944775904476, 58.3567677838073, 76.28794743227422, 71.72912973829108, 70.22485292446547, 87.80034562388288]
63 , [70.17470222157992, 59.43806547035361, 76.33177627336532, 71.93135190781301, 70.50780721328802, 88.46082120190776]
70 , [70.72187603326736, 59.32094249857427, 77.11057353861533, 72.09411298921339, 72.4984919481097, 88.50434032963446]
77 , [69.10778478389317, 58.878501429917975, 76.90847019092082, 70.33190256797823, 70.45826814099993, 88.63510068604515]
84 , [70.11984336721065, 60.68733486984876, 77.35467054620356, 71.14897557164977, 71.41053112166348, 89.36822182435351]
91 , [70.37719806336483, 60.20412608170663, 77.75529158967316, 71.4392174054814, 71.18416903518687, 89.46556236721293]
98 , [70.34429780313894, 60.2897022739509, 78.26938312385101, 72.30685814918684, 72.89178358976237, 89.75804823844726]
105 , [72.07002772858607, 60.28570285419556, 78.121796583421, 73.63767399141932, 72.40456871754434, 90.39118752842717]
112 , [69.06346931012307, 60.91000082019381, 77.8399996140002, 70.88777823569895, 72.78833727253667, 90.31774508735738]
119 , [71.08599057389766, 61.2986505952969, 78.96367407478444, 72.61998050817313, 72.85911779289715, 90.42664559410468]
126 , [70.49371889564154, 61.61721579325029, 79.14628097214839, 71.98204771492222, 72.36878305105307, 90.17954504806328]
133 , [70.77605929082515, 61.60941384527868, 79.30084748586286, 71.95590868420518, 73.2681749511111, 91.26734816897093]
140 , [70.6986306131462, 61.40241978071889, 79.01185541911453, 71.23148115301643, 72.77595402307233, 90.57959912433711]
