[52.08021275757666, 53.62673420165824, 50.96286017245319, 51.826434519785785, 55.200683094685566, 53.00571047248604]
[55.163806429854695, 55.81070504170088, 54.9999823019676, 56.64544206304138, 55.83557017725955, 55.97156800220268]
[54.56322980943022, 56.13781474249719, 54.55435782532134, 55.740182639200725, 57.67304148370805, 55.53426215978954]
[54.19675361718624, 58.417626620584926, 54.61269989958924, 52.14529233602968, 57.41432213839846, 57.67779460113237]
[52.06540643817193, 52.15349312195082, 51.05287102931802, 49.364766286921856, 51.52489683160769, 52.75670702761961]
[53.04729820555729, 52.789544120908324, 51.14073413169855, 54.49794834764596, 52.365240773443645, 53.23289896994523]
[54.34727357099244, 52.32921848181882, 50.996459102658704, 54.2807416157043, 52.0522436760455, 53.232851498806596]
[54.886312358723856, 54.382524508713566, 52.50752490385628, 55.271962865882806, 56.59035751378449, 55.320331860217955]
[50.700614725818745, 51.81823391126136, 49.75222570758751, 51.18784188036166, 53.11267616211127, 52.3126297784267]
[55.51008183990387, 55.42718980081751, 55.26531079652673, 51.51599702127191, 55.41846690755995, 54.870495460186476]
[57.78624184551254, 52.20203151837448, 52.86572995263263, 50.23718154880071, 52.16719624908358, 52.53565086494633]
[50.61794277983466, 56.487731279505304, 52.9809102714342, 52.93184365289887, 59.72948020543616, 54.43077385535089]
[56.667960285613724, 51.04429040947523, 48.62778919323408, 49.31853940694878, 51.04429040947523, 51.15687565390396]
[48.75464160445292, 55.64289170637204, 53.78694200943614, 49.74033176860053, 53.80402669954079, 55.625273938681865]
[54.75928909353262, 72.48876760158387, 72.38337166157379, 55.89194261681185, 59.89394861120793, 74.91211953462478]
[56.07081351199058, 51.97022590077395, 50.4927473105988, 48.312269293645386, 53.28478533487284, 52.456838693582895]
[64.75369440360332, 60.20605654580122, 66.8654764263099, 61.45370102780158, 53.304835422217366, 68.17812950908828]
[51.63879296129993, 53.92030856264644, 53.38480347780828, 49.58049678627956, 53.4277909207221, 53.71430911943917]
