serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,1,1,2,1,0,0,-1,3,0,0,0,0,1,0,12448200.0
2,3,2,7,1,0,0,-1,8,0,0,0,3.0,2,0,12448200.0
3,3,3,11,1,0,0,-1,12,0,0,0,1.0,3,0,5460.0
4,2,1,4,1,0,0,-1,5,0,0,0,0.6666666666666666,1,0,180.0
5,2,2,5,1,0,0,-1,6,0,0,0,1.0,2,0,660.0
6,5,2,12,1,0,0,-1,13,1,0,0,2.5,2,0,60.0
7,5,3,18,1,0,0,-1,19,1,0,0,1.0,3,0,60.0
8,5,2,14,2,0,0,-1,16,0,0,0,1.0,2,0,60.0
9,7,3,25,2,0,0,-1,27,1,0,0,1.4,3,0,3720.0
10,3,2,7,1,0,0,-1,8,0,0,0,0.42857142857142855,2,0,1920.0
11,6,2,16,3,0,0,-1,19,0,0,0,2.0,2,0,540.0
12,7,3,24,1,0,0,-1,25,0,0,0,1.1666666666666667,3,0,60.0
13,1,2,3,1,0,0,0,4,0,0,0,0.14285714285714285,2,0,60.0
14,6,2,13,3,0,0,0,16,0,0,0,6.0,2,0,60.0
15,7,2,22,1,0,0,-1,23,0,0,0,1.1666666666666667,2,0,0.0
16,5,2,16,1,0,0,1,17,1,0,0,0.7142857142857143,2,0,0.0
17,11,2,26,2,0,1,0,28,0,0,0,2.2,2,0,0.0
18,4,2,11,1,0,0,-1,12,0,0,0,0.36363636363636365,2,0,60.0
19,12,3,40,1,0,0,0,41,1,0,0,3.0,3,0,0.0
20,3,1,5,1,0,2,-1,6,0,0,0,0.25,1,0,0.0
21,10,2,31,1,0,1,-1,32,0,0,0,3.3333333333333335,2,0,0.0
22,7,2,21,1,0,0,-1,22,1,0,0,0.7,2,0,0.0
23,4,2,13,1,0,0,-1,14,1,0,0,0.5714285714285714,2,0,0.0
24,13,4,57,2,0,1,0,59,1,0,0,3.25,4,0,0.0
25,2,2,7,1,0,0,-1,8,0,0,0,0.15384615384615385,2,0,0.0
26,7,3,25,1,4,0,-1,26,0,0,0,3.5,3,0,60.0
27,6,3,24,1,0,0,-1,25,0,0,0,0.8571428571428571,3,0,0.0
28,20,3,66,1,0,1,-1,67,1,0,0,3.3333333333333335,3,0,0.0
29,5,2,15,2,0,0,-1,17,0,0,0,0.25,2,0,0.0
30,3,2,8,1,0,1,-1,9,0,0,0,0.6,2,0,0.0
31,3,3,14,1,0,0,-1,15,0,0,0,1.0,3,0,60.0
32,13,3,44,2,0,1,0,46,1,0,0,4.333333333333333,3,0,120.0
33,16,3,63,1,0,1,0,64,0,0,0,1.2307692307692308,3,0,0.0
34,1,0,0,0,3,0,-1,0,0,0,0,0.0625,0,0,120.0
35,8,3,26,2,0,0,-1,28,0,0,0,8.0,3,0,0.0
36,1,0,0,0,4,0,-1,0,0,0,0,0.125,0,0,0.0
37,7,2,22,1,0,0,-1,23,0,0,0,7.0,2,0,60.0
38,7,2,18,2,0,1,-1,20,0,0,0,1.0,2,0,3060.0
39,1,3,6,1,0,0,-1,7,0,0,0,0.14285714285714285,3,0,120.0
40,8,2,22,3,0,1,0,25,0,0,0,8.0,2,0,120.0
41,7,2,20,1,0,1,-1,21,1,0,0,0.875,2,0,0.0
42,13,3,39,3,0,1,-1,42,0,0,0,1.8571428571428572,3,0,0.0
43,4,3,14,1,0,0,-1,15,1,0,0,0.3076923076923077,3,0,60.0
44,2,2,7,1,0,0,-1,8,0,0,0,0.5,2,0,0.0
45,1,0,0,0,3,0,-1,0,0,0,0,0.5,0,0,60.0
46,2,2,5,1,0,1,-1,6,0,0,0,2.0,2,0,0.0
47,6,2,15,1,0,1,-1,16,0,0,0,3.0,2,0,0.0
48,10,2,26,2,0,0,-1,28,2,0,0,1.6666666666666667,2,0,60.0
49,2,1,4,1,0,0,-1,5,0,0,0,0.2,1,0,0.0
50,3,2,10,1,0,0,-1,11,0,0,0,1.5,2,0,60.0
51,7,2,21,1,0,1,-1,22,0,0,0,2.3333333333333335,2,0,0.0
52,10,3,33,3,0,0,-1,36,0,0,0,1.4285714285714286,3,0,0.0
53,4,3,14,1,0,0,-1,15,0,0,0,0.4,3,0,60.0
54,1,2,4,1,0,0,0,5,0,0,0,0.25,2,0,0.0
55,2,3,9,1,0,0,0,10,0,0,0,2.0,3,0,0.0
56,1,2,3,1,0,0,-1,4,0,0,0,0.5,2,0,60.0
57,3,3,13,1,0,0,-1,14,0,0,0,3.0,3,0,60.0
58,3,3,11,1,0,0,0,12,0,0,0,1.0,3,0,0.0
59,2,3,9,1,0,0,-1,10,0,0,0,0.6666666666666666,3,0,0.0
60,9,3,36,1,0,1,-1,37,0,0,0,4.5,3,0,60.0
61,7,2,22,1,0,0,-1,23,1,0,0,0.7777777777777778,2,0,0.0
62,6,3,22,1,0,0,-1,23,0,0,0,0.8571428571428571,3,0,0.0
63,3,2,9,1,0,0,-1,10,0,0,0,0.5,2,0,60.0
64,9,2,28,1,0,1,-1,29,0,0,0,3.0,2,0,0.0
65,7,2,17,1,0,0,0,18,1,0,0,0.7777777777777778,2,0,60.0
66,1,1,2,1,0,0,-1,3,0,0,0,0.14285714285714285,1,0,5400.0
67,3,2,8,1,0,0,-1,9,1,0,0,3.0,2,0,88260.0
68,1,0,0,0,2,0,-1,0,0,0,0,0.3333333333333333,0,0,60.0
69,6,2,20,0,0,0,0,20,0,0,0,6.0,2,0,60.0
70,6,3,24,2,0,0,0,26,0,0,0,1.0,3,0,0.0
71,4,2,10,1,0,0,-1,11,0,0,0,0.6666666666666666,2,0,60.0
72,8,2,21,1,0,0,-1,22,0,0,0,2.0,2,0,60.0
73,1,2,3,1,0,0,-1,4,0,0,0,0.125,2,0,0.0
74,5,2,13,1,0,0,-1,14,0,0,0,5.0,2,0,0.0
75,9,3,35,1,0,1,0,36,0,0,0,1.8,3,0,0.0
76,7,2,20,1,0,0,-1,21,1,0,0,0.7777777777777778,2,0,60.0
77,2,3,8,1,3,0,-1,9,0,0,0,0.2857142857142857,3,0,60.0
78,4,2,11,1,0,0,0,12,0,0,0,2.0,2,0,0.0
79,2,2,5,1,0,0,-1,6,0,0,0,0.5,2,0,60.0
80,4,3,15,1,0,1,-1,16,0,0,0,2.0,3,0,60.0
81,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0,120.0
82,7,2,18,1,0,0,-1,19,0,0,0,3.5,2,0,420.0
83,7,3,25,2,0,0,-1,27,0,0,0,1.0,3,0,420.0
84,1,0,0,0,1,0,-1,0,0,0,0,0.14285714285714285,0,0,840.0
85,11,3,38,3,0,2,0,41,0,0,0,11.0,3,0,3420.0
86,14,3,48,1,0,0,0,49,0,0,0,1.2727272727272727,3,0,780.0
87,9,3,29,3,0,1,2,32,0,0,0,0.6428571428571429,3,0,4800.0
88,12,3,43,4,0,1,-1,47,0,0,0,1.3333333333333333,3,0,4800.0
89,8,2,25,1,0,0,1,26,1,0,0,0.6666666666666666,2,0,4800.0
90,19,3,73,3,0,0,0,76,0,0,0,2.375,3,0,4800.0
91,20,3,75,1,0,1,-1,76,0,0,0,1.0526315789473684,3,0,780.0
92,8,3,27,1,0,1,-1,28,0,0,0,0.4,3,0,960.0
